::1 - - [13/Jul/2019:00:54:06 +0000] "GET /api/vehicle/list?t=1562979246390&page=1&pageSize=10 HTTP/1.1" 200 1301 "http://localhost:8080/console/vehicle" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
::1 - - [13/Jul/2019:03:01:19 +0000] "GET /api/driver/list?page=1&pageSize=10 HTTP/1.1" 404 154 "-" "PostmanRuntime/7.15.0"
::1 - - [13/Jul/2019:03:02:07 +0000] "GET /api/driver/list?page=1&pageSize=10 HTTP/1.1" 200 385 "-" "PostmanRuntime/7.15.0"
::1 - - [13/Jul/2019:03:05:55 +0000] "POST /api/driver/info HTTP/1.1" 200 90 "-" "PostmanRuntime/7.15.0"
::1 - - [13/Jul/2019:03:06:23 +0000] "POST /api/driver/info HTTP/1.1" 200 43 "-" "PostmanRuntime/7.15.0"
::1 - - [13/Jul/2019:03:07:17 +0000] "POST /api/driver/info HTTP/1.1" 200 43 "-" "PostmanRuntime/7.15.0"
::1 - - [13/Jul/2019:03:08:06 +0000] "POST /api/driver/info HTTP/1.1" 200 43 "-" "PostmanRuntime/7.15.0"
::1 - - [13/Jul/2019:03:09:29 +0000] "POST /api/driver/info HTTP/1.1" 200 43 "-" "PostmanRuntime/7.15.0"
::1 - - [13/Jul/2019:03:09:48 +0000] "POST /api/driver/info HTTP/1.1" 200 43 "-" "PostmanRuntime/7.15.0"
::1 - - [13/Jul/2019:03:11:03 +0000] "PUT /api/driver/info HTTP/1.1" 200 43 "-" "PostmanRuntime/7.15.0"
::1 - - [13/Jul/2019:03:11:29 +0000] "GET /api/driver/info/1 HTTP/1.1" 200 140 "-" "PostmanRuntime/7.15.0"
::1 - - [13/Jul/2019:03:11:41 +0000] "DELETE /api/driver/info/4 HTTP/1.1" 404 159 "-" "PostmanRuntime/7.15.0"
::1 - - [13/Jul/2019:03:12:16 +0000] "DELETE /api/driver/info/4 HTTP/1.1" 200 43 "-" "PostmanRuntime/7.15.0"
::1 - - [13/Jul/2019:03:12:26 +0000] "GET /api/driver/list?page=1&pageSize=10 HTTP/1.1" 200 805 "-" "PostmanRuntime/7.15.0"
